forecast_date,Year,Month,Day,Hour,_NAME_,A1993,A1994,A1995,A1996,A1997,A1998,A1999,A2000,A2001,A2002,A2003,A2004,A2005,A2006,A2007,A2008,A2009,A2010,A2011,A2012,A2013,A2014,A2015,A2016,A2017,A2018,A2019,A2020,A2021,A2022,A2023,B1993,B1994,B1995,B1996,B1997,B1998,B1999,B2000,B2001,B2002,B2003,B2004,B2005,B2006,B2007,B2008,B2009,B2010,B2011,B2012,B2013,B2014,B2015,B2016,B2017,B2018,B2019,B2020,B2021,B2022,B2023,C1993,C1994,C1995,C1996,C1997,C1998,C1999,C2000,C2001,C2002,C2003,C2004,C2005,C2006,C2007,C2008,C2009,C2010,C2011,C2012,C2013,C2014,C2015,C2016,C2017,C2018,C2019,C2020,C2021,C2022,C2023,D1993,D1994,D1995,D1996,D1997,D1998,D1999,D2000,D2001,D2002,D2003,D2004,D2005,D2006,D2007,D2008,D2009,D2010,D2011,D2012,D2013,D2014,D2015,D2016,D2017,D2018,D2019,D2020,D2021,D2022,D2023,E1993,E1994,E1995,E1996,E1997,E1998,E1999,E2000,E2001,E2002,E2003,E2004,E2005,E2006,E2007,E2008,E2009,E2010,E2011,E2012,E2013,E2014,E2015,E2016,E2017,E2018,E2019,E2020,E2021,E2022,E2023,F1993,F1994,F1995,F1996,F1997,F1998,F1999,F2000,F2001,F2002,F2003,F2004,F2005,F2006,F2007,F2008,F2009,F2010,F2011,F2012,F2013,F2014,F2015,F2016,F2017,F2018,F2019,F2020,F2021,F2022,F2023,G1993,G1994,G1995,G1996,G1997,G1998,G1999,G2000,G2001,G2002,G2003,G2004,G2005,G2006,G2007,G2008,G2009,G2010,G2011,G2012,G2013,G2014,G2015,G2016,G2017,G2018,G2019,G2020,G2021,G2022,G2023,H1993,H1994,H1995,H1996,H1997,H1998,H1999,H2000,H2001,H2002,H2003,H2004,H2005,H2006,H2007,H2008,H2009,H2010,H2011,H2012,H2013,H2014,H2015,H2016,H2017,H2018,H2019,H2020,H2021,H2022,H2023,I1993,I1994,I1995,I1996,I1997,I1998,I1999,I2000,I2001,I2002,I2003,I2004,I2005,I2006,I2007,I2008,I2009,I2010,I2011,I2012,I2013,I2014,I2015,I2016,I2017,I2018,I2019,I2020,I2021,I2022,I2023,J1993,J1994,J1995,J1996,J1997,J1998,J1999,J2000,J2001,J2002,J2003,J2004,J2005,J2006,J2007,J2008,J2009,J2010,J2011,J2012,J2013,J2014,J2015,J2016,J2017,J2018,J2019,J2020,J2021,J2022,J2023,K1993,K1994,K1995,K1996,K1997,K1998,K1999,K2000,K2001,K2002,K2003,K2004,K2005,K2006,K2007,K2008,K2009,K2010,K2011,K2012,K2013,K2014,K2015,K2016,K2017,K2018,K2019,K2020,K2021,K2022,K2023,L1993,L1994,L1995,L1996,L1997,L1998,L1999,L2000,L2001,L2002,L2003,L2004,L2005,L2006,L2007,L2008,L2009,L2010,L2011,L2012,L2013,L2014,L2015,L2016,L2017,L2018,L2019,L2020,L2021,L2022,L2023,M1993,M1994,M1995,M1996,M1997,M1998,M1999,M2000,M2001,M2002,M2003,M2004,M2005,M2006,M2007,M2008,M2009,M2010,M2011,M2012,M2013,M2014,M2015,M2016,M2017,M2018,M2019,M2020,M2021,M2022,M2023
1/1/2040,2040,1,1,0,final_load,9409,14400,12002,12109,15273,15337,14853,12665,14681,14475,10482,11725,10467,12616,10780,12191,15172,12509,12272,10273,12116,14233,14200,10395,11252,17506,10725,11210,11927,9892,9831,13193,12310,10526,11906,13722,14193,16353,11378,14410,14332,11734,11639,11233,12089,9842,11838,14502,12447,10785,10189,13089,12986,12749,12034,11725,16889,10704,12838,11911,9575,10072,13463,12319,13743,13685,11509,11097,14756,9390,15589,13715,12998,10758,10836,11358,11025,15392,13452,15926,11896,12246,13548,15457,12739,12581,11559,15885,11322,10866,11667,10887,9848,11482,13257,13336,14785,9862,10130,12593,9587,15005,13435,12825,10028,9971,12423,10846,15704,13496,15597,13282,15517,13566,17272,11838,12118,10927,14592,11902,10219,12045,14522,9600,9350,14361,15166,15370,10387,9841,15271,9713,14336,13022,12527,11113,10342,12190,9999,13468,11817,14863,12998,14040,12839,15256,10224,15718,12116,16261,10882,10691,11674,13637,9286,10298,14889,15574,16969,10089,10278,15211,12936,13614,12751,12594,11593,12254,11422,9223,12111,11422,14173,13086,12878,12516,11807,13966,14446,13034,17864,10997,11790,11812,11825,9861,11337,14615,12661,16321,11975,9487,13765,12319,13499,12518,13259,14339,11703,13101,9170,10842,12608,13690,13278,10675,11479,15180,15752,13551,13946,18195,12483,11685,12498,12604,11013,15429,14334,13304,11757,12561,15225,11101,14825,14676,11359,11543,11404,12079,11240,11527,12244,13602,12916,10535,13337,13618,13257,10003,12792,15846,12036,11391,11573,10143,10185,10858,14842,13826,13982,9956,12127,11507,12967,14517,13437,12409,10834,11413,10481,11692,11159,11480,15465,13333,12307,12974,11100,12125,10571,12211,15850,10943,11010,12871,10433,11396,10046,15080,10944,14246,10561,12877,11817,13686,15744,12759,12607,11788,14025,10711,10659,10779,9765,13157,13316,12397,12894,11009,10489,11445,12087,16405,9329,10965,11237,10598,11954,9778,15395,11683,14125,11964,12607,12704,13214,14135,13805,12896,11911,15716,11958,11765,11638,10605,11266,14897,10163,12882,12792,10527,9407,10360,15599,11109,10169,13015,11538,12711,10077,15655,11935,15062,12192,11456,14025,13162,15366,13357,12525,12255,14017,11431,10204,12247,11718,10404,15015,11723,11767,13195,11365,9535,11036,14268,11942,11107,14192,10891,13922,10279,13120,10660,13920,13199,10511,14258,14542,16415,12324,13183,12550,14680,10604,10421,12166,12350,12002,13247,11368,12255,13643,10650,9094,12121,13353,12500,12055,12742,9602,15543,10160
1/1/2040,2040,1,1,1,final_load,8952,13816,11324,11549,14728,14741,14298,11971,14088,13940,9827,11135,9826,12004,10152,11729,14490,11850,11699,9664,11342,13615,13598,9882,10569,16820,9912,10654,11647,9269,9185,12706,11766,9917,11306,13002,13328,15791,10794,13753,13775,11127,11003,10730,11530,9225,11383,13820,11949,10095,9577,12556,12314,12109,11581,11225,16262,10207,12446,11185,8943,9419,12916,11778,13238,13055,10854,10425,13942,8781,14994,13009,12342,10096,10201,10673,10664,14721,12790,15236,11398,11709,13035,14859,12084,12054,10832,15561,10604,10177,11250,10318,9200,10745,12625,12623,14261,9255,9486,12131,8987,14273,12904,12146,9366,9377,11939,10448,15100,12966,14879,12773,15056,12948,16609,11105,11579,10283,13907,11449,9585,11504,14058,9010,8737,13501,14702,14776,9795,9283,14756,9147,13751,12408,11852,10536,9788,11493,9359,12920,11120,14256,12328,13441,12192,14580,9672,15350,11649,15868,10350,10110,11020,12995,8735,9841,14295,14930,16251,9460,9734,14633,12340,12956,12036,11912,11118,11411,10799,8618,11544,10990,13578,12564,12251,11800,11084,13440,13876,12475,17335,10486,11390,11155,11215,9259,10750,13983,12004,15740,11493,8864,12992,11727,12863,11679,12626,13926,11215,12604,8526,10234,11769,12997,12711,10134,10819,15110,14954,12771,13247,17702,12010,11094,11910,12181,10563,14760,13754,12608,11071,12165,14537,10510,14207,14126,10827,10907,10768,11648,10724,11048,11726,12870,12156,9860,12670,13136,12769,9364,12190,15212,11479,10766,10850,9514,9451,10294,14055,13313,13510,9312,11344,10904,12205,13898,12961,11804,10166,10833,9876,11098,10695,10941,14675,12914,11551,12433,10524,11463,9969,11784,15256,10361,10196,12350,9807,10733,9566,14512,10386,13676,9914,12461,11163,13053,15083,12247,12023,11248,13204,10070,10114,10141,9157,12580,12650,11957,12441,10380,10003,10872,11701,15752,8717,10258,10637,10005,11290,9143,14707,10981,13498,11294,11920,11941,12673,13501,13207,12293,11669,15075,11475,11154,10891,9888,10739,14204,9514,12172,12270,9966,8931,9972,14991,10379,9553,12391,10914,12073,9415,15308,11411,14502,11465,10802,13458,12555,14766,12783,11938,11659,13400,10831,9613,11605,11063,9148,14385,11196,11209,12563,10917,8922,10351,13726,11278,10410,13578,10421,13160,9664,12625,10177,13351,12644,9945,13603,14110,15845,11729,12446,12007,14062,9939,9788,11652,11874,11278,12691,10735,11872,12954,10192,8494,11524,12733,11941,11709,12311,9445,15010,9540
1/1/2040,2040,1,1,2,final_load,8584,13300,10876,11179,14559,14460,13907,11623,13855,13715,9410,10769,9396,11601,9754,11318,14121,11487,11255,9424,10951,13312,13198,9532,10169,16617,9512,10359,11192,8839,8739,12440,11328,9577,10973,12621,12921,15315,10336,13444,13448,10760,10472,10425,11256,8843,11032,13484,11634,9656,9207,12353,11994,11813,11103,10695,16014,9914,12004,10854,8511,9041,12506,11545,12944,12600,10449,9988,13355,8540,14767,12665,11954,9596,9806,10364,10426,14353,12699,14781,11120,11556,12695,14621,11889,11612,10501,15179,10210,9786,10862,10051,8803,10296,12307,12322,13987,8846,8991,11938,8583,13877,12610,11684,8875,8922,11629,10270,14774,12658,14463,12411,14821,12606,16049,10630,11186,9910,13542,11223,9165,11230,13790,8564,8331,13195,14513,14384,9396,8996,14402,8833,13568,11943,11462,10099,9404,11073,8937,12471,10734,13913,11904,13147,11805,14042,9321,15143,11526,15577,9979,9834,10712,12637,8307,9641,13975,14543,15766,9058,9414,14337,12073,12620,11708,11544,10842,11044,10456,8210,11102,10677,13066,12225,11878,11456,10627,13168,13705,12077,16925,10146,10971,11022,10875,8842,10443,13637,11507,15391,11126,8452,12558,11383,12590,11227,12260,13622,10977,12403,8146,9934,11406,12716,12250,9860,10586,14992,14625,12487,12804,17373,11739,10956,11641,11812,10266,14491,13309,12241,10657,12030,14139,10147,13751,13806,10520,10601,10457,11263,10404,10746,11465,12537,11866,9409,12419,12736,12548,8997,11839,14798,11213,10410,10345,9094,9078,9873,13861,13026,13156,8899,10972,10549,11817,13467,12567,11334,9882,10459,9631,10636,10334,10605,14260,12725,11184,12079,10366,11232,9627,11360,14693,10071,9833,12083,9427,10303,9200,14379,9884,13379,9504,12036,10793,12719,14831,11815,11675,10999,12811,9646,9710,9709,8977,12192,12274,11814,11843,10057,9628,10485,11395,15378,8588,10078,10366,9571,11121,8737,14321,10805,13127,10888,11646,11533,12442,13145,12974,11814,11067,14714,11156,10846,10508,9484,10338,13781,9110,11904,12037,9594,8723,9672,14728,9953,9419,11850,10557,11755,9032,15010,11149,14208,11061,10479,13152,12246,14528,12535,11672,11266,12954,10550,9282,11243,10619,9222,14089,10771,10778,12268,10597,8510,9782,13329,10961,9923,13170,10274,12787,9296,12301,9828,13009,12218,9525,13255,13731,15550,11397,12205,11754,13727,9521,9376,11253,11540,10829,12338,10647,11712,12526,9968,8080,11208,12513,11670,11357,11976,9013,14732,9172
1/1/2040,2040,1,1,3,final_load,8358,13021,10668,10989,14570,14248,13687,11367,13781,13598,9177,10662,9183,11492,9504,11255,13972,11245,11021,9242,10687,13228,12998,9410,9929,16497,9270,10160,11057,8606,8478,12204,11187,9358,10747,12430,12736,15083,10253,13347,13222,10543,10299,10417,11027,8705,10826,13323,11449,9408,9125,12194,11799,11719,10940,10538,15898,9861,11873,10625,8286,8770,12267,11391,12843,12434,10191,9738,12963,8131,14688,12364,11797,9349,9573,10170,10548,14151,12268,14628,11152,11497,12572,14677,11506,11405,10298,15020,9942,9511,10678,10023,8531,10118,12233,12142,13802,8580,8744,11954,8353,13781,12454,11509,8621,8690,11471,10028,14542,12587,14308,12264,14638,12335,15823,10345,10969,9707,13482,11046,8929,11053,13645,8312,8079,13039,14352,14216,9267,8852,14312,8791,13479,11723,11288,9909,9300,10790,8652,12475,10503,13712,11826,12826,11758,13775,9267,15065,11525,15545,9735,9752,10523,12553,8055,9488,13823,14422,15643,8813,9174,14363,12056,12469,11495,11321,10746,10837,10316,7967,10904,10539,12833,12134,11555,11226,10427,12952,13696,11950,16665,9957,10818,10953,10843,8610,10262,13480,11209,15245,11107,8195,12242,11116,12440,11019,12020,13628,10882,12352,7909,9599,11191,12385,11967,9755,10599,15044,14309,12216,12616,17217,11689,10780,11400,11648,10052,14292,13121,12118,10393,11789,13828,10025,13537,13652,10299,10632,10321,11044,10351,10603,11073,12267,11721,9153,12198,12444,12358,8747,11602,14688,10976,10212,10130,8872,8868,9711,13783,12993,13115,8674,10748,10387,11691,13157,12506,11164,9674,10353,9530,10413,10157,10121,13998,12406,11020,11974,10247,11097,9483,11272,14448,9996,9597,11894,9190,10094,9137,14244,9712,13133,9270,11989,10601,12578,14725,11612,11538,10908,12557,9412,9609,9412,8978,12095,12046,11800,11574,9775,9486,10193,11163,15212,8292,9939,10226,9367,10907,8504,14049,10672,12947,10700,11535,11257,12471,12969,12797,11625,10893,14622,10897,10817,10392,9284,10110,13587,8821,11649,11768,9475,8668,9509,14724,9636,9335,11493,10355,11637,8784,14810,10917,14043,10823,10389,12908,12133,14344,12378,11536,11065,12831,10386,9136,11041,10380,8946,14097,10664,10547,12226,10267,8288,9512,13085,10787,9663,12979,10172,12555,9042,12302,9798,12762,12106,9226,13108,13519,15316,11193,11988,11626,13455,9280,9105,11221,11594,10588,12238,10436,11623,12409,9825,7838,11145,12401,11441,11254,11900,8781,14522,8944
1/1/2040,2040,1,1,4,final_load,8244,12866,10477,10911,14553,14267,13555,11308,13772,13699,9025,10662,9045,11319,9333,11233,13945,11182,10900,9221,10589,13143,12877,9375,9857,16583,9134,10114,11150,8430,8348,12097,11068,9291,10714,12366,12651,14952,10130,13436,13135,10436,10085,10330,10943,8694,10710,13136,11448,9252,9270,12232,11800,11574,10916,10468,16053,9871,11900,10466,8112,8652,12252,11455,12909,12237,10035,9672,12629,8201,14667,12248,11657,9250,9429,10270,10599,14114,12181,14504,11276,11532,12495,14732,11454,11430,10213,14919,9779,9362,10705,10067,8397,9981,12111,12093,13823,8451,8654,12088,8172,13670,12392,11430,8387,8551,11451,10051,14497,12454,14275,12262,14496,12262,15658,10134,11070,9586,13476,11145,8777,10993,13711,8173,7907,12960,14397,14373,9132,8810,14364,8854,13316,11654,11234,9871,9232,10703,8487,12206,10358,13614,11804,12654,11625,13725,9319,14999,11580,15671,9596,9732,10474,12299,7887,9546,13732,14339,15627,8692,9062,14304,12003,12506,11396,11242,10739,10727,10259,7780,10864,10493,12789,12056,11483,11084,8102,12910,13517,11937,16535,9951,10850,10911,10816,8474,10176,13351,10999,15174,11046,8027,12139,10993,12416,10916,12039,13679,10703,12297,7822,9466,11086,12303,11851,9716,10552,15379,14154,12266,12544,17026,11714,10617,11439,11707,9957,14279,13014,11940,10349,11765,13695,10078,13419,13712,10236,10472,10271,10972,10442,10540,11018,12088,11680,8938,11969,12288,12449,8600,11529,14611,10830,10107,9840,8738,8666,9672,13778,13050,12960,8580,10752,10448,11614,13031,12535,11038,9513,10363,9528,10298,10187,10096,13963,12542,10964,12010,10178,11130,9375,11204,14247,9811,9559,11835,9082,10201,9091,14289,9513,12964,9117,11869,10521,12571,14717,11434,11321,10855,12435,9268,9671,9072,9108,12132,11970,11783,11406,9622,9487,10049,11024,15046,8136,9971,10255,9272,10950,8332,13960,10689,12997,10519,11424,11087,12588,13022,12639,11594,10938,14572,10929,10732,10579,9119,10125,13486,8858,11590,11722,9262,8761,9509,14709,9491,9108,11303,10252,11735,8627,14765,10997,14034,10690,10356,12889,12096,14333,12456,11413,10985,12886,10329,9096,10971,10224,8740,13926,10665,10471,12226,10247,8158,9262,13035,10707,9485,12952,10213,12473,8884,12533,9853,12669,12053,9114,12978,13430,15212,11175,11892,11592,13332,9170,8934,11223,11659,10449,12280,10313,11623,12294,10088,7668,11144,12428,11379,11243,11919,8588,14326,8810
1/1/2040,2040,1,1,5,final_load,8323,12958,10392,10875,14639,14320,13621,11192,13858,13714,9035,10981,9088,11162,9229,10906,14081,11194,10880,9434,10540,13208,12940,9492,9800,16710,9023,10182,11299,8342,8358,12067,11032,9435,10752,12301,12496,14962,9996,13489,13263,10517,10025,10415,10899,8770,10796,13100,11488,9204,9454,12292,11931,11618,10899,10482,16146,10001,11893,10349,8002,8766,12159,11560,12956,12183,9922,9692,12367,8191,14794,12218,11599,9217,9394,10299,10667,14144,12158,14330,11533,11728,12495,14736,11420,11274,10207,14876,9757,9330,10652,10178,8343,9957,12148,11992,14118,8627,8599,12202,8162,13576,12360,11303,8344,8554,11489,9972,14432,12476,14321,12448,14444,12235,15739,10057,11223,9585,13505,11247,8740,10937,13729,8135,7836,12964,14492,14548,9111,8824,14419,9038,13320,11608,11295,9842,9289,10704,8429,12073,10348,13571,11865,12639,11607,13515,9454,15061,11697,15881,9543,9715,10496,12143,7857,9645,13830,14407,15805,8729,9036,14479,12170,12288,11277,11266,10935,10713,10352,7715,10817,10554,12736,12201,11546,11006,8707,12855,13521,11951,16500,9721,10918,11028,10924,8516,10194,13349,10837,15087,11138,7849,12110,10969,12335,10850,12101,13828,10830,12395,7866,9504,11071,12331,11844,9704,10580,15806,14132,12157,12532,16871,11887,10764,11526,11780,9975,14430,12955,11879,10361,11878,13607,10191,13332,13798,10230,10524,10324,10998,10412,10580,11025,11965,11691,8879,11940,12277,12598,8554,11543,14641,10838,10128,9752,8669,8700,9645,13886,13244,12953,8562,10820,10498,11632,13034,12554,11031,9422,10397,9689,10232,10253,10146,14129,12503,10793,12020,10180,11239,9330,11317,14027,9847,9547,11714,9074,10265,9197,14340,9768,12945,9032,11758,10389,12672,14797,11344,11285,10945,12374,9204,9649,8994,9357,12325,11934,11735,11456,9569,9540,9917,11201,14998,8067,9988,10346,9275,11025,8306,13978,10799,13060,10446,11474,10987,12828,13238,12744,11588,11101,14652,10959,10842,10626,9052,10042,13325,9000,11561,11731,9177,8835,9616,14794,9409,9086,11234,10247,11830,8547,14857,10974,14164,10753,10235,12802,12011,14224,12532,11460,10963,12975,10371,9109,10906,10157,8651,13914,10630,10419,12257,10355,8109,7867,13047,10666,9466,12905,10281,12400,8861,12766,9936,12754,12201,9087,12806,13202,15282,11321,11859,11682,13094,9159,8844,11149,11508,10344,12382,10246,11654,12214,10167,7571,11044,12424,11363,11264,12028,8415,14275,8796
1/1/2040,2040,1,1,6,final_load,8452,12932,10329,10972,14587,14432,13839,11176,14009,13870,9045,10804,9105,11138,9038,10739,14280,11255,11031,9362,10597,13085,13022,9508,9921,16816,7829,10278,11383,8285,8421,12095,11122,9689,10888,12276,12480,14872,9952,13812,13403,10663,10029,10480,10987,8830,11047,13140,11679,9274,9671,12304,12093,11661,10859,10545,16197,10195,12087,10354,7989,8976,11978,11765,13024,12303,9920,9557,12077,7912,14933,12341,11643,9249,9401,10394,10604,14445,12110,14233,11829,11849,12571,14764,11447,11440,10210,15128,9843,9314,10591,10354,8377,9965,12240,12067,14636,8702,8665,12466,8027,13778,12359,11299,8391,8627,11694,9953,14644,12562,14391,12550,14518,12120,15703,10039,11468,9702,13904,11361,8744,10919,13930,8159,7861,13046,14689,14908,9106,9073,14487,9328,13560,11568,11287,9874,9502,10744,8422,12077,10393,13720,11952,12687,11533,13414,9632,15192,11840,16226,9529,9770,10652,12088,7911,9790,13958,14410,15992,8826,9072,14667,12307,12318,11207,11387,11042,10772,10380,7686,10846,10766,12863,12466,11516,10987,8673,13028,13739,12122,16425,9691,11072,11087,11036,8593,10304,13448,10751,15148,11310,7879,12145,11067,12404,10848,12330,13944,10921,12414,7903,9548,11042,12546,12034,9762,10727,16078,14312,12125,12644,16728,12008,10888,11646,11959,9984,14715,12972,11845,10480,12229,13689,10273,13323,13936,10265,10679,10392,11025,10521,10718,10925,12024,11751,8804,12136,12453,12764,8555,11543,14721,10905,10175,9699,8649,8801,9578,13973,13326,12899,8673,10928,10578,11643,13175,12612,11232,9376,10451,9769,10177,10248,10289,14242,12806,10826,12013,10258,11364,9207,11334,13852,9899,9632,11726,9113,10368,9260,14442,9998,13064,9011,11819,10355,12810,14841,11265,11297,11068,12297,9250,9668,8943,9641,12567,11967,11932,11466,9530,9678,9838,11033,14989,8136,10077,10384,9305,11117,8343,14041,10924,13195,10302,11480,10959,12864,13598,12853,11741,11095,14757,11090,10835,10728,7986,10151,13427,9197,11665,11733,9152,8925,9664,14969,9360,9170,11128,10344,11948,8517,14966,11186,14258,10823,10237,12725,12060,14181,12602,11559,10940,13177,10359,9159,10899,10131,8621,14021,10572,10452,12363,10367,8059,7894,13277,10822,9467,12812,10308,12454,8912,12840,10097,12990,12245,9171,12649,13130,15493,11494,11965,11756,13036,9215,8818,11207,11633,10308,12427,10208,11800,12194,10259,7518,11144,12534,11432,11417,12095,8533,14271,8810
1/1/2040,2040,1,1,7,final_load,8800,13069,10410,11014,14696,14315,13671,11403,13852,13748,9253,10763,9349,11421,9177,10672,14337,11366,11121,9476,10699,12926,12973,9587,10076,16617,8042,10452,11493,8514,8679,12260,11319,9990,11111,12470,12537,15053,10142,13879,13289,10944,10169,10571,11171,9069,11217,13094,11943,9531,9968,12319,12404,11674,11007,10678,15952,10194,12063,10634,8187,9130,12065,11943,13042,12578,10035,9801,12003,8115,14940,12572,11827,9411,9601,10670,10632,14472,11972,14454,11892,11916,12613,15165,11720,11292,10370,15303,10018,9478,10777,10739,8597,10121,12353,12279,14654,8938,8876,12444,8220,13921,12336,11597,8584,8943,11891,10015,14560,12494,14250,12519,14608,12177,15930,10190,11546,9847,14385,11379,8996,11078,13679,8346,8050,13144,14567,14789,9332,9185,14413,9709,13721,11680,11364,10077,9801,10918,8640,12077,10444,13722,12046,12691,11593,13558,9820,15004,11919,16338,9732,9999,10838,12133,8174,9818,13999,14390,16204,9137,9279,14535,12244,12571,11575,11573,11073,10996,10616,7942,10942,10982,12998,12706,11491,11151,8850,13346,13705,12384,16570,9824,11306,11169,10996,8825,10447,13524,10803,15810,11536,8180,12253,11246,12604,10986,12455,13894,11000,12475,8093,9610,11151,12441,12146,9828,10792,16208,14487,11998,13150,16720,12038,10983,11596,12260,10097,14730,12970,12108,10655,12287,13830,10507,13572,13748,10394,10901,10521,11413,10730,10942,11004,12181,11868,9022,12232,12559,12773,8729,11717,15029,11081,10326,9823,8784,8874,9696,14049,13272,13002,8800,11202,10893,11519,13593,12626,11353,9598,10594,9975,10347,10524,10289,13955,12707,10848,12106,10305,11491,9279,11307,14185,10196,9767,11912,9283,10304,9477,14421,10179,13252,9217,11971,10505,12889,14681,11553,11427,11176,12355,9500,9881,9182,9610,12882,11976,12104,11520,9757,9861,9800,11181,15324,8430,10123,10510,9470,11222,8570,14020,10918,13189,10339,11502,10950,12845,13631,12632,11954,11070,14593,11228,10919,10774,8196,10342,13251,9356,11626,11732,9364,9069,9831,15016,9554,9434,11046,10464,12053,8692,15044,11225,14250,10869,10423,12686,12165,14261,12460,11578,10881,13789,10492,9334,11026,10307,8822,14381,10555,10557,12198,10440,8260,8094,13650,10891,9628,12770,10454,12641,9107,13273,10192,13197,12292,9401,12826,13268,15231,11494,12152,11891,13412,9434,8982,11439,11789,10389,12672,10129,11876,12329,10319,7668,11323,12726,11506,11520,12361,8738,14154,9007
1/1/2040,2040,1,1,8,final_load,8985,13151,10496,11113,14996,13984,13599,12025,13196,13404,9691,10407,9363,11911,9522,9890,13872,11811,11297,9373,10914,13005,12543,9791,9842,16202,8436,10810,11593,8979,8764,12288,11442,9862,11522,12952,12853,16131,10575,13246,12910,11530,10461,10981,11406,8957,11500,12849,12235,9954,10001,12520,13111,11473,10888,10991,15545,10521,11874,10968,8657,9315,12216,11968,12793,13098,10209,10307,11817,8500,14329,12921,12114,9833,9933,11291,10789,14355,11651,15055,11563,11547,12451,15959,11391,10714,10668,14864,10313,9880,11245,11508,9014,9833,12525,12035,14183,9512,9153,12338,8788,13899,12186,12190,9074,9421,12183,10130,14179,12121,13724,12238,14342,12146,16069,10625,11400,9819,15055,11347,9402,11406,13453,8498,8396,12842,13866,14264,9788,9305,14156,10036,13956,12339,11702,10459,10369,11285,8944,12223,10259,13279,11521,12727,11619,14107,9675,14237,12005,16285,10023,10369,11112,12427,8589,9935,14141,14136,16429,9176,9565,14298,11703,12861,12101,12048,11374,10925,10953,8372,11237,11400,12864,12720,11070,11337,9206,13883,13190,12568,16774,9987,11565,11012,11231,9236,10333,13769,10696,17139,11726,8625,12447,11538,12368,11375,12311,13590,11300,12289,8076,9756,10980,11907,12360,9489,10198,15496,14165,11911,14141,16809,12015,10960,11381,12797,10339,14618,13104,12298,11132,12086,14250,11054,13905,13117,10570,10899,10725,12123,11337,10842,11199,12820,11674,9202,12342,12533,12312,8837,12129,15633,11396,10663,10183,9186,9157,10154,13783,13207,12959,8894,11741,11554,11228,14637,12656,11470,9917,11019,10281,10784,11073,10190,13817,12458,11196,12235,10560,11682,9594,10820,15195,10927,10137,12323,9588,10222,9782,14441,10468,12900,9585,12187,10692,12886,14533,12091,11531,11321,12607,9847,10069,9581,9694,12954,11778,12307,11729,10195,10115,9695,11460,15426,8404,10476,10530,9688,11103,8593,14143,11060,12800,10071,11910,11169,12698,13696,12841,11958,11007,14189,11462,11057,10582,8639,10736,12664,9328,11743,11804,9797,9125,9942,14710,9850,9498,10937,10535,11848,8986,14986,11133,13675,10644,10914,12797,12469,14363,12233,11623,10582,14450,10694,9619,11442,10759,8949,14711,10611,11055,11926,10553,8690,8502,14163,10806,9966,12742,10765,12844,9494,13765,10143,13016,12523,9552,13853,13796,14712,11694,11901,12085,14287,9912,9279,11906,12040,10835,13370,9809,12002,12697,9748,8188,11450,12670,11565,11699,12479,8929,13930,9406
1/1/2040,2040,1,1,9,final_load,9085,12941,10487,11235,15542,13861,13418,12674,12886,12568,10544,9731,8920,12407,10264,11002,13426,12439,10863,8339,11551,12546,11723,10298,9117,15870,9092,11134,11544,9790,8761,11956,10718,9725,12518,13767,12676,17101,10573,12820,12147,12529,11142,10681,11681,8442,12069,13277,12532,10621,9381,12644,13796,11184,10760,11694,15257,11130,10601,10676,9392,9760,12366,12489,12832,13743,10174,10466,11921,9087,13605,13604,12911,10610,10540,12118,11108,14152,11384,15413,10984,11693,12229,16716,12282,9689,11290,14249,10949,10743,11996,12422,9660,9162,12916,11399,13728,9780,9492,12319,9159,13532,11468,12954,9828,10239,12458,10241,13306,11911,13383,12215,14368,12513,16093,11254,11207,10315,16104,11424,10200,11689,12984,8504,9157,12354,13016,13813,10427,9907,13226,9877,14366,12437,12143,11054,11319,11738,9015,11654,11124,12963,10896,13430,11117,14821,9691,13198,12743,16284,10875,10209,11793,13069,9089,9815,14741,14557,16144,9419,10266,14450,11008,12804,12878,12925,11263,12454,11620,8772,11640,11716,12826,12585,10697,11120,11229,15043,12175,12712,17156,10647,11945,10557,11711,9998,10188,14573,11285,18602,11111,9569,12144,11240,11945,12149,12444,13691,11810,11856,7963,9606,12324,11160,12935,8712,9591,14981,13872,11616,15468,16877,12341,10895,10980,13258,10473,14498,12980,11872,11929,12171,14730,12032,13888,12574,11161,10584,11049,13111,10919,9960,11821,13765,10986,9261,12657,12677,11930,9253,12386,16071,11764,11088,11063,9790,9865,10823,13672,12947,12297,8994,12635,12864,10434,15517,12171,11070,10166,11358,10221,11281,11698,9461,13255,11683,10799,12195,10810,12584,10251,10052,16613,11663,10965,12708,10231,9551,10345,14511,10543,12278,10196,12334,11367,12701,14495,12586,11031,10519,13129,10709,9303,10443,8696,12626,11360,11774,13132,10894,10239,10245,11160,14737,8168,10742,10124,10408,10592,8456,14752,11027,11948,11103,11581,11899,12341,13709,12128,11666,9677,13812,11562,10631,9577,9176,10820,12307,9132,11661,11422,10490,9248,10148,14312,10535,9238,11461,10883,11212,9804,14790,10607,13094,10202,11970,12380,12943,14223,11874,11791,10571,13927,10700,9468,12111,11519,8675,14825,10824,11944,11203,9686,9294,9166,14303,10112,10445,12151,11661,13224,10223,13787,9984,12725,12697,9165,14914,13845,14491,11165,11377,11987,15090,10753,9979,12565,12503,11590,14304,9165,12731,13618,8907,8940,12078,13080,11865,11790,11956,8607,13342,10151
